target_id	length	eff_length	est_counts	tpm
NM_000014.6	4610	4369.87	8436.11	117.532
NM_000015.3	1285	1044.87	5	0.291334
NM_000016.6	2261	2020.87	621.951	18.737
NM_000017.4	1859	1618.87	694.905	26.1334
NM_000018.4	2184	1943.87	5649.11	176.928
NM_000019.4	1537	1296.87	495.181	23.2461
NM_000020.3	4177	3936.87	601.991	9.3094
NM_000021.4	6018	5777.87	1600.27	16.862
NM_000022.4	1496	1255.87	218.005	10.5683
NM_000023.4	1429	1188.87	115	5.88907
NM_000024.6	2013	1772.87	66	2.26647
NM_000025.3	2585	2344.87	22.6512	0.588107
NM_000026.4	4359	4118.87	311.707	4.60735
NM_000027.4	2037	1796.87	279.787	9.47967
NM_000028.2	7449	7208.87	56.3172	0.475616
NM_000030.3	2900	2659.87	57.8211	1.32345
NM_000031.6	3129	2888.87	3282.46	69.1758
NM_000032.5	1940	1699.87	0	0
NM_000033.4	3669	3428.87	674	11.9672
NM_000035.4	2420	2179.87	71	1.98294
NM_000036.3	2335	2094.87	0	0
NM_000037.4	8292	8051.87	224.538	1.69776
NM_000038.6	10704	10463.9	747.768	4.35068
NM_000039.3	899	659.366	11	1.01566
NM_000040.3	535	310.829	0	0
NM_000041.4	1166	925.867	29859.7	1963.44
NM_000042.3	1174	933.867	0	0
NM_000043.6	3696	3455.87	0.00106066	1.86854e-05
NM_000044.6	10667	10426.9	128.045	0.747638
NM_000045.4	1447	1206.87	0	0
NM_000046.5	4852	4611.87	966.246	12.7554
NM_000047.3	2219	1978.87	61.1049	1.87993
NM_000048.4	2140	1899.87	471.03	15.0941
NM_000049.4	5422	5181.87	1962.34	23.0553
NM_000050.4	1863	1622.87	218.025	8.17909
NM_000051.4	12915	12674.9	1873.23	8.99765
NM_000052.7	8492	8251.87	360.952	2.66305
NM_000053.4	6598	6357.87	598.761	5.73356
NM_000054.6	1784	1543.87	6	0.236605
NM_000055.4	2405	2164.87	159.066	4.4733
NM_000056.5	1506	1265.87	0	0
NM_000057.4	5240	4999.87	30.9972	0.377438
NM_000059.4	11954	11713.9	120.169	0.62456
NM_000061.3	2575	2334.87	57	1.48626
NM_000062.3	1830	1589.87	562.5	21.5399
NM_000063.6	2610	2369.87	0	0
NM_000064.4	5231	4990.87	4184	51.0385
NM_000065.5	3691	3450.87	9	0.15878
NM_000066.4	2040	1799.87	0	0
NM_000067.3	1562	1321.87	2065	95.1074
NM_000068.4	8660	8419.87	0.0860067	0.000621884
NM_000069.3	6028	5787.87	243	2.55605
NM_000070.3	3315	3074.87	0.116456	0.00230577
NM_000071.3	2495	2254.87	970.414	26.201
NM_000072.3	2108	1867.87	0	0
